summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,density,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
6,41.5,1.666666667,0.298,1,0.369406393,3.12E-05,2722,6,18.403,0.121,0.067,12.161,-0.845,-0.109,36.776,33.714
5,70,4,2.1,1.8,0.705753425,3.66E-05,2242,5,21.731,0.15,0.093,19.2,-0.67,-0.13,32.639,33.825
1,80,2,1,2,0.326027397,1.79E-06,2136,5,22.402,0.148,0.08,6.995,-0.418,0.838,31.185,37.731
5,47,2.8,0.143333333,1.2,0.576438356,1.43E-05,2858,6,17.439,0.118,0.089,6.751,-0.781,-0.251,39.61,16.007
6,33.83333333,4.333333333,1.056,1.5,0.588584475,2.34E-05,2314,5,21.144,0.151,0.098,12.275,-0.56,-0.6,41.006,22.152
3,52.33333333,1.333333333,0.16,1,0.340639269,1.27E-05,2958,7,16.784,0.107,0.067,5.236,-0.535,0.052,35.44,30.573
8,38.375,5.125,0.302857143,1.25,0.404452055,2.07E-05,3107,7,15.807,0.096,0.058,4.408,-0.74,0.324,35.166,30.322
12,56.08333333,2.083333333,0.917777778,2.333333333,0.102739726,5.82E-05,2403,5,20.501,0.128,0.083,6.261,-0.834,0.451,38.093,32.933
5,70.4,1.2,0.325,4.6,0.594520548,1.15E-05,2653,6,18.752,0.116,0.083,8.327,-0.585,0.545,28.112,32.721
2,60,1.5,2.13,5.5,0.973972603,1.09E-05,2683,6,18.608,0.139,0.082,15.05,-0.743,-0.54,36.019,22.402
2,46.5,2,0.59,1,0,7.10E-06,1634,4,26.37,0.144,0.088,26.602,-0.729,0.461,44.684,34.496
4,45.5,3.5,1.51,1.75,0.142465753,1.89E-05,2585,6,19.27,0.129,0.075,16.777,-0.783,-0.277,34.911,33.417
8,73.625,1.75,0.215,1.25,0.151027397,4.04E-05,2981,7,16.576,0.118,0.065,4.299,-0.726,-0.056,29.754,39.106
4,75.25,4,2.81,1,0.448630137,1.80E-05,3028,7,16.271,0.119,0.068,4.062,-0.962,-0.053,38.057,23.691
4,28.75,1,0.23,1,0.164383562,9.77E-06,2800,6,17.923,0.124,0.076,10.855,-0.576,0.211,33.615,22.863
6,36.33333333,6.333333333,0.18,5,0.272146119,4.00E-05,2795,6,17.934,0.104,0.07,13.399,-0.022,0.581,22.31,30.322
8,50,2.125,0.345714286,4.375,0.775684932,4.79E-05,3162,7,15.488,0.103,0.066,11.117,-0.594,0.2,23.423,32.863
6,29.5,4.166666667,1.05,2.333333333,0.337899543,4.34E-05,3122,7,15.713,0.096,0.055,14.641,-0.437,0.483,22.917,32.255
22,74.81818182,2.363636364,1.021764706,3.772727273,0.156537983,0.000106584,2414,5,20.417,0.146,0.096,4.038,0.012,0.526,26.215,26.678
7,103.1428571,2.142857143,0.956,1.142857143,0.415655577,2.05E-05,2023,5,23.276,0.151,0.102,9.009,-0.238,1.036,28.153,25.74
13,115.1538462,16.30769231,1.113636364,3.384615385,0.35890411,6.15E-05,1903,4,24.143,0.148,0.111,7.978,-0.105,0.842,32.763,27.05
12,76.83333333,4.083333333,1.336,2,0.513013699,5.68E-05,1451,4,27.748,0.177,0.135,16.692,-0.139,0.58,34.075,29.524
14,93.42857143,2.785714286,0.606,1.071428571,0.394520548,9.13E-05,2749,6,18.27,0.132,0.081,6.918,-0.373,0.504,25.021,29.279
15,65.93333333,2.2,1.591818182,4.2,0.492785388,3.99E-05,2030,5,23.247,0.158,0.094,19.998,-0.332,0.565,34.476,20.468
3,83.33333333,3,0.22,1,0.001826484,9.30E-06,3205,7,15.157,0.089,0.077,8.267,-0.465,0.496,24.358,22.509
2,50,2.5,0.15,1,0.123287671,9.65E-06,2808,6,17.855,0.12,0.084,10.649,-0.408,0.282,19.099,36.813
7,62.57142857,2.714285714,0.796,1.285714286,0.29667319,2.08E-05,2202,5,21.984,0.127,0.121,5.636,0.023,0.735,26.123,25.002
6,50,1.5,0.386,2.333333333,0.642465753,2.95E-05,2629,6,18.934,0.12,0.088,18.058,-0.042,-0.327,25.007,30.393
5,29.4,3.4,0.476666667,1.8,0.423561644,6.83E-06,2458,6,20.04,0.147,0.104,9.444,-0.399,0.555,26.025,19.68
16,105.8125,3,1.335384615,7.5625,0.480650685,1.68E-05,2432,6,20.234,0.117,0.077,9.009,-0.176,1.01,28.503,25.883
3,50,1.333333333,0.69,1,0.495890411,8.68E-06,1969,5,23.606,0.152,0.104,25.268,0.127,0.502,26.115,18.699
5,58.4,2.6,0.5125,1.8,0.397260274,1.57E-05,3267,7,14.743,0.113,0.064,13.651,-0.162,-0.061,20.139,23.158
4,31,1,0.7875,1.5,0.057534247,1.46E-05,1826,4,24.743,0.123,0.094,22.671,-0.08,0.723,39.067,24.339
2,19,45.5,0.045,1,0.72739726,8.97E-06,1759,4,25.331,0.153,0.129,23.138,0.003,0.625,24.275,25.275
7,38.57142857,3.142857143,0.36,1.142857143,0.081800391,5.77E-05,2696,6,18.55,0.134,0.071,15.451,-0.295,-0.111,33.862,22.994
5,44,7.2,0.735,1.4,0.225205479,2.38E-05,2034,5,23.232,0.141,0.083,12.701,0.078,1.014,28.279,28.259
3,54,1.333333333,0.55,2,0.327853881,2.48E-05,1723,4,25.682,0.169,0.121,15.066,0.213,-0.213,34.783,30.131
8,30.625,3,0.513333333,2,0.66369863,4.33E-05,1532,4,27.056,0.187,0.111,18.73,0.021,0.438,32.057,33.586
35,177.8,2.628571429,1.322413793,8.8,0.316399217,9.50E-05,3016,7,16.332,0.096,0.064,3.022,-0.716,0.759,25.977,35.805
52,100.8653846,2.807692308,0.948636364,2.211538462,0.198735511,0.000273938,2892,6,17.25,0.103,0.064,8.06,-0.327,0.448,25.256,38.75
10,56.2,4.5,1.313333333,1.1,0.332876712,4.70E-05,1795,4,25.032,0.188,0.101,14.452,0.037,-0.202,42.743,16.37
4,124.5,1.5,1.1375,251,0.178082192,1.14E-05,2252,5,21.637,0.1,0.083,11.06,-0.272,1.296,31.148,25.658
6,51,1.5,1.298,1.333333333,0.268493151,1.44E-05,2588,6,19.236,0.101,0.074,10.981,-0.327,0.803,36.718,17.39
8,104.75,1.125,0.326666667,1.875,0.129794521,3.04E-05,2851,6,17.489,0.105,0.066,6.374,-0.139,0.825,22.584,31.617
6,67,3.5,1.06,1.333333333,0.103196347,2.13E-05,2747,6,18.273,0.138,0.099,7.462,-0.105,-0.205,28.64,17.807
4,68.5,1.75,0.205,1,0.341780822,9.17E-06,2760,6,18.198,0.128,0.071,9.598,-0.495,0.134,37.345,21.187
2,56.5,4.5,0.04,1,0,5.30E-06,2372,5,20.724,0.093,0.082,8.921,0.055,0.546,38.12,28.412
57,127.8947368,3.456140351,1.200789474,2.842105263,0.306128335,0.000238327,2189,5,22.073,0.144,0.074,5.271,-0.248,1.065,21.431,44.378
22,101.3636364,3.181818182,2.086666667,4.136363636,0.34607721,0.000143284,2292,5,21.316,0.111,0.083,3.229,0.095,0.334,24.868,53.895
16,134.1875,3.5625,0.973636364,65.375,0.549657534,8.50E-05,2905,7,17.153,0.091,0.056,5.35,-0.091,0.714,27.603,35.14
15,67.13333333,3.133333333,2.128461538,10,0.414246575,3.48E-05,1758,4,25.344,0.14,0.084,11.525,0.316,0.945,28.276,40.896
37,107.972973,3.378378378,1.674615385,29,0.306034802,0.000158822,1557,4,26.89,0.183,0.114,11.795,0.022,0.763,26.78,38.605
3,68.33333333,2,0.09,1.333333333,0.333333333,1.55E-05,2062,5,22.947,0.173,0.115,18.023,-0.147,0.332,25.182,20.882
6,73.16666667,2.333333333,0.83,4.666666667,0.874885845,1.66E-05,1519,4,27.142,0.188,0.093,18.728,-0.455,0.814,37.596,32.136
8,48.125,2.25,0.9725,2,0.343150685,3.77E-05,2180,5,22.128,0.152,0.089,17.514,-0.755,0.486,31.154,32.6
8,64.625,3.125,1.25,1.875,0.47260274,3.93E-05,2506,6,19.733,0.139,0.081,18.257,-0.401,0.073,27.625,30.952
6,41.5,2,2.378,2.166666667,0.160273973,3.85E-05,2740,6,18.3,0.113,0.098,6.838,-0.14,0.596,21.395,25.52
11,44.81818182,1.363636364,1.226666667,1.545454545,0.595516812,1.25E-05,2758,6,18.224,0.104,0.089,5.771,0.046,0.517,26.999,23.576
5,48.6,3.8,1.705,1.6,0.295890411,3.62E-05,2081,5,22.811,0.157,0.117,15.621,0.168,0.037,24.998,26.022
4,76.25,3.75,0.806666667,2,0.404794521,3.40E-06,1828,4,24.72,0.168,0.123,20.278,-0.194,0.667,28.332,16.933
7,37,5.142857143,0.288571429,1.428571429,0.26223092,3.98E-05,2878,6,17.339,0.125,0.073,11.334,-0.338,0.274,23.74,30.244
12,70.08333333,2.666666667,0.791111111,1.583333333,0.270091324,6.95E-05,2401,5,20.534,0.169,0.096,8.882,-0.132,0.035,28.273,24.006
5,68.8,2.8,1.833333333,1,0.524383562,1.41E-05,1600,4,26.616,0.177,0.108,9.851,0.831,0.087,36.581,18.928
11,43.72727273,1.636363636,0.469,4.090909091,0.438356164,2.87E-05,2037,5,23.21,0.17,0.094,14.647,0.025,0.49,34.486,14.81
7,29.28571429,1.428571429,0.892857143,1.428571429,0.528375734,4.95E-05,1983,5,23.517,0.139,0.112,13.851,0.049,0.49,30.548,27.845
4,300,1.75,1.12,2.75,0.293835616,2.29E-05,2382,5,20.619,0.127,0.106,9.936,-0.009,-0.073,33.309,23.807
17,84.17647059,2.117647059,1.349166667,2.058823529,0.439323127,9.80E-05,1437,3,27.849,0.18,0.078,7.715,0.295,0.433,40.163,47.416
27,51.18518519,4,0.625263158,1.555555556,0.150279046,0.00035133,1368,3,28.349,0.148,0.08,8.216,0.139,0.869,46.81,41.005
17,85.17647059,2.647058824,0.395454545,2.117647059,0.083319903,0.000173913,1473,4,27.475,0.162,0.112,11.028,0.284,0.188,47.27,23.44
45,84.17777778,3.222222222,0.524193548,39.22222222,0.135768645,0.000445404,2443,6,20.149,0.072,0.038,4.731,-0.293,1.098,39.694,44.58
21,95.52380952,2.476190476,0.644666667,1.047619048,0.089889106,0.000207089,2495,6,19.773,0.094,0.056,5.017,0.162,0.545,37.306,37.448
38,81.18421053,4.078947368,0.740689655,28.94736842,0.118817592,0.000325148,2077,5,22.842,0.15,0.066,9.718,0.206,-0.124,41.378,35.149
44,60.95454545,3.25,0.6221875,1.363636364,0.192901619,0.000374799,1761,4,25.324,0.144,0.075,4.867,0.238,0.136,43.666,46.11
9,59.77777778,3,0.3625,1.222222222,0.108980213,8.40E-05,2113,5,22.608,0.124,0.086,17.092,0.163,-0.267,41.303,26.662
63,69.96825397,3.111111111,0.793877551,2.666666667,0.171906936,0.000360362,1017,3,31.157,0.16,0.101,12.161,0.102,1.149,47.453,35.312
54,89.74074074,4.518518519,0.647777778,5.777777778,0.191577879,0.00036748,874,2,32.404,0.147,0.098,5.975,0.488,1.413,42.204,46.913
49,77.08163265,3.632653061,1.047894737,1.693877551,0.186021806,0.000364418,504,2,36.255,0.197,0.116,6.841,0.483,1.569,46.963,36.98
41,85.24390244,7.731707317,0.505357143,1.219512195,0.207951888,0.000450662,2269,5,21.541,0.134,0.084,2.055,0.143,0.397,39.111,25.494
36,96.97222222,3.388888889,0.530714286,42,0.079832572,0.000364317,1849,4,24.573,0.15,0.086,1.364,0.336,0.253,36.226,44.939
34,107.2058824,5.411764706,0.68375,102.8823529,0.158501209,0.000373112,2064,5,22.939,0.137,0.085,4.929,0.32,0.329,39.229,29.231
61,90.04918033,3.278688525,0.794081633,58.44262295,0.135818549,0.000490929,1702,4,25.798,0.141,0.106,2.962,0.482,0.763,36.755,30.318
26,82.73076923,3.807692308,0.857058824,39.38461538,0.134035827,0.000308406,2815,6,17.772,0.1,0.065,0.961,-0.296,0.601,33.8,33.265
32,106.375,2.28125,0.792,104.6875,0.183732877,0.000249421,1277,3,28.995,0.187,0.103,8.476,0.745,0.494,40.573,26.811
66,85.95454545,2.924242424,0.691111111,31.77272727,0.13403902,0.000480682,918,2,32.017,0.2,0.118,9.827,0.467,0.925,40.315,33.92
78,77.21794872,3.025641026,0.847741935,2.820512821,0.207727432,0.000550521,1030,3,31.063,0.16,0.08,8.647,1.035,1.209,41.563,29.505
96,78.42708333,3.46875,0.803066667,15.54166667,0.241866438,0.000537402,828,2,32.844,0.177,0.115,7.353,0.256,1.341,45.002,35.766
60,90.1,2.683333333,0.603061224,13.4,0.141369863,0.000571731,1026,3,31.098,0.155,0.105,3.557,0.651,0.808,40.48,50.4
35,111.6857143,3.285714286,0.580740741,36.74285714,0.191389432,0.000228217,2656,6,18.737,0.059,0.04,2.1,-0.302,0.926,30.133,59.744
52,107.8653846,4.442307692,0.825135135,3.788461538,0.15052687,0.000410922,1564,4,26.838,0.121,0.062,6.227,0.21,0.097,43.211,67.78
118,97.94915254,3.762711864,1.072688172,20.91525424,0.131205015,0.000984467,973,3,31.459,0.177,0.075,13.25,-0.291,0.649,43.95,67.028
59,90.3559322,4.033898305,0.603409091,22.23728814,0.16498723,0.000363884,1995,5,23.435,0.078,0.064,8.216,-0.164,1.108,40.545,46.51
67,69.49253731,3.626865672,0.695689655,1.701492537,0.157186669,0.000643914,1286,3,28.934,0.173,0.112,6.391,0.41,0.602,43.11,32.31
73,102.3150685,5.643835616,0.758392857,18.21917808,0.220191406,0.0005197,1526,4,27.09,0.138,0.099,4.389,0.391,0.34,45.533,39.349
65,91.35384615,6.276923077,0.667058824,16.63076923,0.130621707,0.000591599,2181,5,22.12,0.13,0.062,9.771,-0.273,0.316,43.732,37.008
23,71.7826087,2.869565217,0.565882353,1.347826087,0.188207266,0.000219656,1311,3,28.73,0.192,0.114,11.619,0.104,0.466,41.68,31.482
29,87.96551724,3.448275862,0.9815,78.72413793,0.245819556,0.000278327,719,2,33.95,0.205,0.114,9.587,0.395,1.131,44.867,35.623
35,85.11428571,4.6,0.640416667,1.857142857,0.237338552,0.000337215,1890,4,24.277,0.142,0.088,8.592,-0.032,0.398,39.592,38.236
39,81.84615385,2.692307692,0.8772,27.15384615,0.160379347,0.000315692,1574,4,26.759,0.163,0.087,5.791,0.19,0.973,40.329,31.856
82,88.29268293,3.12195122,0.833125,8.109756098,0.214868025,0.000456205,1388,3,28.204,0.182,0.083,7.945,0.107,0.74,45.576,35.8
104,116.1826923,5.817307692,1.277974684,13.46153846,0.317492097,0.000664154,685,2,34.27,0.176,0.106,8.969,0.698,1.064,47.176,39.956
85,138.5058824,3.717647059,1.140895522,6.882352941,0.327735697,0.000607369,1088,3,30.639,0.188,0.108,11.131,0.178,0.298,48.051,38.969
103,113.5048544,3.252427184,0.906144578,25.65048544,0.181646496,0.000759472,2331,5,21.076,0.128,0.069,7.338,-0.497,-0.032,42.874,39.478
68,95.63235294,2.852941176,1.648627451,5.294117647,0.353585818,0.000884442,1592,4,26.639,0.182,0.079,14.098,0.139,0.079,42.258,38.62
32,84.84375,15.9375,0.62125,1.25,0.203167808,0.00035204,1075,3,30.74,0.178,0.102,6.157,0.309,1.068,39.164,43.769
39,77.79487179,3.846153846,0.4234375,1.256410256,0.084229013,0.000405587,1457,4,27.673,0.172,0.113,7.04,0.416,0.466,39.335,31.819
43,78.13953488,3.069767442,0.567419355,1.395348837,0.233067856,0.00024737,840,2,32.729,0.189,0.107,10.867,0.434,1.236,40.675,37.316
34,89.11764706,3.235294118,0.340344828,1.470588235,0.253424658,0.00021734,1818,4,24.873,0.151,0.094,4.75,-0.161,0.435,41.492,39.232
54,79.81481481,4.148148148,0.643409091,1.388888889,0.246727549,0.000418858,1614,4,26.492,0.135,0.07,7.301,-0.001,0.767,40.806,53.677
45,122.7333333,4.222222222,0.52030303,24.13333333,0.188493151,0.000439068,974,3,31.452,0.15,0.119,5.592,0.363,1.296,41.747,38.026
45,89.71111111,3.288888889,0.876666667,25.31111111,0.195372907,0.000491075,1356,3,28.427,0.134,0.093,7.655,0.187,0.372,46.809,50.857
10,62,2.7,1.061111111,1.6,0.388493151,6.86E-05,981,3,31.423,0.204,0.102,14.541,0.468,-0.163,45.796,42.561
27,99.2962963,3.962962963,0.718095238,83.81481481,0.133536276,0.000168599,3125,7,15.695,0.075,0.065,1.69,-0.026,-0.353,36.658,32.03
36,83.77777778,2.944444444,0.741290323,1.194444444,0.172298326,0.000236263,1507,4,27.222,0.137,0.08,1.441,0.016,1.151,40.483,47.853
37,79.86486486,2.72972973,0.710909091,28.08108108,0.139577934,0.000113396,1162,3,29.992,0.187,0.116,6.538,0.477,0.913,39.879,28.043
17,80.11764706,6.294117647,0.734285714,60.05882353,0.271071716,0.000145159,1269,3,29.104,0.187,0.11,14.54,-0.075,0.172,44.494,38.774
42,118.2619048,3.523809524,0.924545455,51.61904762,0.188323549,0.000310447,1777,4,25.206,0.167,0.085,6.622,0.236,0.709,37.942,30.492
51,92.54901961,3.333333333,0.858918919,5.862745098,0.204942251,0.000373374,1433,3,27.879,0.2,0.113,4.066,0.391,0.507,36.689,30.972
41,93.90243902,3.731707317,0.670967742,7.317073171,0.098095556,0.000353027,2993,7,16.477,0.078,0.05,0.492,-0.251,0.756,31.402,37.958
47,72.65957447,4.85106383,0.601714286,2.510638298,0.284115418,0.000431746,1264,3,29.178,0.161,0.092,1.95,0.414,1.017,42.627,39.587
32,69.28125,4.59375,0.607894737,1.71875,0.143921233,0.000308627,1401,3,28.103,0.141,0.09,7.253,0.282,1.02,40.206,41.718
43,82.81395349,2.279069767,0.9275,8.604651163,0.179165339,0.00045053,1070,3,30.766,0.195,0.112,6.263,0.483,0.584,42.481,37.825
48,81.79166667,5.395833333,0.71,4.041666667,0.210216895,0.000649794,2294,5,21.313,0.1,0.067,1.621,0.254,1.1,33.02,33.092
47,84.57446809,4.531914894,0.772564103,12.4893617,0.251180414,0.000358662,1658,4,26.182,0.16,0.103,9.978,0.19,0.453,40.656,30.383
59,92.18644068,5.661016949,0.598444444,36.23728814,0.104295333,0.000516413,2916,7,17.083,0.086,0.043,2.089,0.026,0.654,36.163,31.935
28,89.10714286,3.714285714,0.625217391,13,0.161545988,0.00037976,915,2,32.022,0.182,0.14,6.428,0.675,0.738,41.746,29.684
41,134,2.853658537,0.731851852,8.048780488,0.171800869,0.000264567,1548,4,26.949,0.14,0.083,6.698,0.096,1.029,40.976,40.636
82,122.7926829,5,1.005072464,33.80487805,0.270163715,0.001080478,2960,7,16.762,0.101,0.065,5.168,-0.337,0.331,27.21,37.917
32,147.03125,3.40625,0.952592593,14.96875,0.239640411,0.000395936,2364,5,20.791,0.1,0.086,6.105,-0.079,0.884,23.518,42.447
52,141.3846154,4.269230769,1.315581395,27.59615385,0.330136986,0.000786091,2580,6,19.308,0.129,0.083,2.698,-0.235,0.24,29.138,37.836
53,122.4716981,2.716981132,1.533333333,32.33962264,0.278780047,0.000698537,2714,6,18.446,0.105,0.076,8.431,-0.182,0.271,26.999,38.683
26,106.1153846,5.423076923,1.111,14.96153846,0.416438356,0.000315013,966,2,31.549,0.204,0.145,7.658,0.464,0.606,32.465,40.397
25,95.88,4.32,0.754,41.6,0.18969863,0.000209662,1080,3,30.675,0.189,0.126,6.505,0.582,0.764,27.617,47.737
21,69.80952381,2.380952381,0.739333333,1.714285714,0.138682322,0.00019512,2431,6,20.236,0.186,0.096,3.738,-0.22,-0.738,32.072,25.296
19,185.1052632,3.157894737,1.137647059,61.94736842,0.15962509,0.000263791,1140,3,30.192,0.222,0.15,4.99,0.294,0.769,31.231,26.784
35,134.3428571,5.971428571,0.62,71.42857143,0.254951076,0.000413166,2622,6,18.964,0.115,0.093,2.409,-0.203,0.676,23.944,32.56
34,76.91176471,2.705882353,0.718387097,36.29411765,0.245850121,0.000462758,1305,3,28.795,0.169,0.131,4.574,0.768,0.518,26.936,41.466
74,107.5675676,2.810810811,1.568253968,15.10810811,0.384487227,0.00072933,2943,7,16.892,0.096,0.068,4.263,-0.003,-0.45,33.997,34.831
44,120.9772727,5.840909091,1.543235294,10.47727273,0.345080946,0.000620622,3143,7,15.605,0.083,0.059,1.966,-0.328,0.205,31.039,38.18
27,183.7777778,5.259259259,1.247619048,100.4444444,0.262810756,0.000436549,2101,5,22.705,0.165,0.107,5.632,0.018,0.13,28.394,35.176
55,95,5.036363636,1.16326087,22.27272727,0.314769614,5.71E-05,1935,5,23.89,0.132,0.094,11.872,0.572,-0.345,39.716,28.286
23,135.3478261,7.391304348,0.640769231,11.56521739,0.261941632,1.80E-05,786,2,33.33,0.202,0.149,9.305,0.456,0.743,34.284,43.979
29,92.65517241,3.862068966,1.458181818,11.31034483,0.267076051,0.00035983,2117,5,22.554,0.159,0.126,9.135,0.039,0.19,25.891,24.952
40,157.5,4.725,1.185151515,15.6,0.318150685,0.00031559,2315,5,21.14,0.159,0.079,7.697,0.07,0.559,28.459,27.352
69,107.3188406,4.594202899,0.960363636,35.13043478,0.241215009,0.000620509,3232,7,14.937,0.06,0.047,3.514,-0.158,0.923,22.581,37.514
64,126.3125,2.3125,1.081694915,42.78125,0.378296233,0.000479167,2006,5,23.378,0.17,0.104,8.733,0.565,-0.105,26.945,28.186
53,112.5849057,2.981132075,1.053170732,41.71698113,0.304678211,0.000650072,1682,4,25.958,0.152,0.093,5.88,0.462,0.715,29.594,43.686
14,162.2857143,1.857142857,1.519166667,6.214285714,0.437573386,0.000145977,1695,4,25.873,0.172,0.114,8.55,0.379,0.645,28.89,30.14
33,183.3636364,2.333333333,1.4732,41.57575758,0.377501038,0.000303104,2031,5,23.246,0.173,0.103,10.744,0.15,0.258,28.909,27.199
48,111.8125,3,1.117560976,11.08333333,0.388812785,0.000329245,2476,6,19.908,0.075,0.06,2.317,-0.333,1.415,27.354,44.105
22,134.0454545,2.318181818,1.922105263,54.90909091,0.292278954,0.000254845,2547,6,19.524,0.119,0.095,10.558,-0.181,0.404,24.941,31.379
52,106.1923077,3.961538462,0.836086957,28.03846154,0.304794521,0.000611411,2195,5,22.043,0.153,0.091,4.606,-0.035,0.51,31.001,32.832
45,124.2444444,9.377777778,1.305277778,15.93333333,0.314764079,0.000476001,3169,7,15.457,0.086,0.077,0.893,-0.168,0.602,22.44,28.712
67,192.5522388,3.194029851,1.322631579,7.791044776,0.31470047,0.000234301,2161,5,22.222,0.129,0.092,9.96,0.345,0.141,30.412,35.056
46,172.826087,2.608695652,1.04,119.1521739,0.188921977,0.000632821,3126,7,15.69,0.092,0.066,12.213,0.194,-0.267,24.984,26.859
40,125.225,2.725,0.829677419,4.8,0.232260274,0.000364953,1739,4,25.552,0.181,0.118,7.243,0.227,0.195,26.845,39.844
99,112.6363636,3.565656566,1.377012987,14.86868687,0.488556801,0.002182631,2928,7,17.008,0.08,0.054,3.493,0.088,0.396,31.953,37.449
59,109.1016949,2.457627119,1.277272727,13.08474576,0.406454609,0.000686736,2121,5,22.51,0.14,0.084,8.367,0.355,0.494,27.781,36.002
55,100.5090909,2.509090909,1.171428571,7.836363636,0.250859278,0.000676846,2718,6,18.415,0.104,0.078,1.472,-0.202,-0.225,32.712,43.563
125,107.752,2.344,1.4593,16.744,0.481556164,0.001910533,2464,6,19.977,0.106,0.083,6.356,0.039,0.287,33.335,34.046
31,121.8709677,2.35483871,0.793125,107.6774194,0.256296951,0.000286975,3148,7,15.582,0.111,0.061,5.466,-0.102,0.214,22.067,32.922
42,167.1190476,2.642857143,1.364,11.88095238,0.329810828,0.000256506,1025,3,31.102,0.196,0.154,6.428,0.601,0.626,28.363,38.059
45,201.6222222,2.355555556,1.094117647,31.75555556,0.443226788,0.000444095,2607,6,19.082,0.092,0.084,2.808,-0.681,1.089,24.225,38.928
31,168.0967742,8.516129032,1.182608696,106.0967742,0.329827662,0.000277806,2830,6,17.635,0.099,0.057,2.206,-0.796,0.663,26.46,49.203
28,167.4642857,3,0.925238095,124.8214286,0.161741683,0.000147448,2390,5,20.584,0.13,0.089,1.366,-0.039,0.706,25.88,35.836
35,129.9142857,2.657142857,1.083103448,44.8,0.294481409,0.000138214,1034,3,31.034,0.158,0.141,2.663,0.736,0.635,27.741,54.355
18,131.2777778,5.277777778,0.976470588,27.55555556,0.130898021,0.000264082,2710,6,18.489,0.098,0.058,4.511,0.166,0.236,30.1,43.203
40,137.85,2.5,2.490625,89.425,0.502534247,0.000212288,1686,4,25.92,0.128,0.09,2.62,0.014,1.034,38.531,43.493
37,306.3513514,2.918918919,1.336666667,90.91891892,0.292706405,0.00020793,2355,5,20.872,0.123,0.097,7.679,-0.563,0.685,28.109,36.333
31,114.3225806,2.774193548,0.723333333,38.19354839,0.252319929,0.000170534,1946,5,23.795,0.225,0.119,12.125,-0.279,-0.66,32.735,16.057
55,161.0727273,4.4,1.049166667,29.03636364,0.31860523,0.000515852,2934,7,16.976,0.112,0.082,4.689,-0.217,0.469,23.783,27.34
24,97.625,3.416666667,0.928947368,43,0.21130137,0.000232016,1472,4,27.478,0.222,0.117,12.144,-0.174,0.505,26.537,39.012
95,167.2736842,4.757894737,0.632352941,62.55789474,0.331333814,0.000294247,2334,5,21.07,0.168,0.094,14.819,-0.398,0.017,29.466,26.726
40,99.975,3.45,1.557777778,32.775,0.326575342,0.000279702,1134,3,30.224,0.155,0.135,5.672,0.643,0.856,32.383,41.205
51,117.1568627,3.352941176,1.092439024,7.098039216,0.151329573,0.000554303,1901,4,24.159,0.142,0.11,5.903,0.248,0.706,27.654,34.925
103,123.1747573,2.893203883,1.336,27.62135922,0.288017024,0.00023267,811,2,33.034,0.162,0.12,5.702,0.373,1.387,37.191,49.212
51,107.5882353,2.666666667,1.12,6.725490196,0.299758259,0.000444006,1787,4,25.101,0.167,0.115,3.312,0.113,0.803,25.909,36.831
37,178.2702703,2.891891892,1.684,3.162162162,0.361717882,0.000299209,2207,5,21.955,0.164,0.118,9.743,0.337,-1.041,29.839,20.234
36,178,4.694444444,0.968387097,66.44444444,0.400761035,0.000347907,2868,6,17.389,0.089,0.06,3.699,-0.245,0.625,23.506,46.62
37,104.6216216,2.648648649,0.951111111,30.56756757,0.288263606,0.000391237,3121,7,15.715,0.087,0.06,9.195,0.093,-0.128,23.848,37.251
64,113.3125,2.953125,1.1928,22.1875,0.574357877,0.000719124,2187,5,22.092,0.145,0.077,11.533,0.329,0.475,27.052,33.592
23,95.34782609,3,0.809411765,45.43478261,0.104228708,0.000267495,1486,4,27.358,0.199,0.117,8.315,0.402,0.717,26.449,31.674
15,128.3333333,3,1.132,83.53333333,0.16109589,0.000112238,1502,4,27.284,0.188,0.144,7.616,-0.101,0.67,26.312,35.923
30,106.4,2.8,0.721304348,35.9,0.15369863,0.000362033,2720,6,18.411,0.124,0.076,3.265,-0.122,0.291,26.457,37.041
7,84.71428571,3.428571429,0.5975,1.571428571,0.204696673,1.36E-05,3159,7,15.503,0.109,0.063,3.491,-0.619,0.224,30.606,29.775
10,57.8,8.1,1.517777778,1.1,0.526575342,6.87E-05,1537,4,27.037,0.169,0.096,20.441,-0.107,0.563,36.004,37.903
19,49.42105263,3,1.126153846,4.263157895,0.151550108,8.84E-05,1541,4,26.984,0.197,0.101,12.594,0.029,0.714,36.084,27.19
13,54.23076923,4.461538462,0.735454545,1.461538462,0.455848261,6.29E-05,1631,4,26.384,0.17,0.12,10.085,0.043,0.407,36.008,32.256
39,103.1538462,2.461538462,1.291612903,11.69230769,0.408991921,9.74E-05,2744,6,18.289,0.114,0.072,3.277,-0.719,0.259,28.667,46.256
28,129.5714286,10.92857143,1.0495,12.46428571,0.396086106,0.000158321,2551,6,19.494,0.093,0.071,8.368,-0.694,0.529,33.031,45.508
8,103.125,4.625,0.35,1.25,0.463356164,6.66E-05,2300,5,21.262,0.114,0.09,14.2,-0.374,0.196,33.879,38.3
9,64.55555556,1.777777778,0.90875,1.333333333,0.477321157,8.91E-05,1462,4,27.617,0.17,0.12,16.129,0.197,0.751,30.373,32.53
