summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,density,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
2,37.5,1,3.63,1.5,0.153424658,7.11E-06,2256,5,21.609,0.135,0.108,11.185,-0.868,0.071,43.196,18.134
4,56.25,2,0.39,1.5,0.294520548,1.13E-05,2013,5,23.347,0.164,0.101,18.521,-0.622,0.481,31.954,28.246
25,88.96,6,1.560833333,17.52,0.679452055,5.77E-05,2264,5,21.568,0.137,0.077,6.545,-0.872,-0.006,50.079,25.352
18,94.61111111,2.388888889,0.913076923,2.444444444,0.421461187,4.10E-05,2529,6,19.599,0.118,0.065,5.762,-1.108,0.071,48.523,28.397
9,76.88888889,2.111111111,1.515,1.666666667,0.152207002,3.26E-05,2599,6,19.154,0.125,0.084,3.59,-0.959,0.287,42.621,21.089
11,47,1.454545455,0.719090909,6.636363636,0.210460772,6.11E-05,1907,4,24.116,0.168,0.119,11.778,-0.366,0.449,31.387,29.665
8,76.75,3.375,1.13,32.25,0.266438356,3.53E-05,2641,6,18.853,0.144,0.114,7.175,-0.578,0.114,24.873,22.749
2,162,2,1.175,2.5,0.679452055,1.85E-06,2659,6,18.729,0.149,0.097,6.712,-1.007,0.195,30.356,24.066
11,98.54545455,2.454545455,0.61375,1.545454545,0.341220423,1.63E-05,1799,4,25.001,0.168,0.119,17.095,-0.383,0.252,38.645,21.402
8,100.75,2.375,1.76,6.375,0.48630137,9.76E-06,2481,6,19.85,0.11,0.074,10.626,-0.992,0.203,46.598,24.416
4,64.75,1.75,0.095,1.25,0.334246575,2.17E-05,2756,6,18.23,0.144,0.106,4.07,-0.769,-0.957,36.343,19.329
5,60.6,2.2,1.042,2.2,0.44109589,1.81E-05,2098,5,22.723,0.16,0.104,21.677,-0.404,0.314,30.131,22.608
9,67,25,0.3725,1.111111111,0.445053272,5.42E-05,2930,7,17.004,0.119,0.06,2.994,-0.639,0.409,26.429,41.331
10,51.1,3.9,0.53,1.2,0.177260274,1.45E-05,1435,3,27.857,0.164,0.117,15.048,-0.648,0.481,45.441,34.409
