USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area,summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,geometry,density,Unnamed: 0,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
1969,1969,0,102.3,679,2.9,192149.6525,1,31,7,0.06,1,0,"POLYGON ((0.1032862676543415 51.54817971225999, 0.1040703835169324 51.5463514874313, 0.1040354684764709 51.54585106399677, 0.1034566370567127 51.545860752188865, 0.1033460860953339 51.54554053282838, 0.1031975651148436 51.54517816161623, 0.101520316577243 51.54533465052909, 0.0998088944033512 51.54399988255673, 0.0992318946868401 51.544626654221936, 0.1003080619002601 51.545410399110125, 0.0988434762735669 51.54546416644116, 0.0982667430520007 51.54573378101614, 0.0983974062217248 51.54625269976278, 0.0981384725915634 51.54649098101747, 0.0969353573221848 51.5460150325122, 0.0965519186512996 51.546289078729, 0.0952889721206464 51.545808445391835, 0.0946569430460338 51.54626390261757, 0.0959271903198281 51.54669801872894, 0.0999597415342644 51.54849997195836, 0.1007667973949423 51.548777876430705, 0.1019807239288917 51.54914230710897, 0.1046961551271246 51.54999499098691, 0.1055522478177551 51.54927791452075, 0.1050814168562689 51.549058146147345, 0.1053292296559292 51.54873379953218, 0.1048007654768278 51.54863677238055, 0.1032862676543415 51.54817971225999))",5.20E-06,63,2346,5,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711
1590,1575,15,46.8,462,3.4,341692.3984,10,36.8,1.8,0.38,2.8,0.163287671,"POLYGON ((0.0850133497659132 51.54688204867233, 0.0862370226335275 51.54559228096107, 0.0866714055223425 51.5458113518007, 0.0890756226393912 51.54382613709234, 0.0881364749565935 51.54347414701174, 0.0886375293893928 51.543232998059665, 0.089138403279131 51.543376236068426, 0.0916520126897419 51.54190881695214, 0.0924112118501486 51.542389599649866, 0.0949518548220028 51.54085891080628, 0.0941652188279507 51.54046718593897, 0.0944604506328865 51.54022479384507, 0.0941379186788453 51.540057873419926, 0.0941144436922815 51.539634805603484, 0.0948400753917964 51.539159792102915, 0.0940431125028575 51.5387481970917, 0.093247155253953 51.538739391369425, 0.0932574948838036 51.53786984998944, 0.0911520748755322 51.53908530122372, 0.0896160411413439 51.539960681950774, 0.0885253785905606 51.540581927747716, 0.0864553479281781 51.54177629382356, 0.0864185936112644 51.54179754993529, 0.0847465626041917 51.542494179317686, 0.0827207155903258 51.54349883617282, 0.0801086413540037 51.5447944001632, 0.0802332814463488 51.5448295277712, 0.0807057793553655 51.544962702483815, 0.0815691864528765 51.545195368412315, 0.0815434624779959 51.54554941014739, 0.0849060162924334 51.546831960350175, 0.0850133497659132 51.54688204867233))",2.93E-05,64,1735,4,25.603,0.123,0.075,16.187,0.167,0.946,41.502,31.382
1975,1975,0,50.4,598,3.3,395818.0109,5,82,1.6,0.06,2.2,0.698082192,"POLYGON ((0.0930470850409785 51.546441161638015, 0.0934645632998875 51.54579246623233, 0.0946569430451471 51.54626390261485, 0.0952889721253491 51.54580844539331, 0.0965519186520879 51.5462890787292, 0.0969353573220794 51.54601503251335, 0.0981384725955256 51.546490981016696, 0.098397406217745 51.546252699766214, 0.0982667430535118 51.54573378101337, 0.0988434762745806 51.54546416643973, 0.0989944852406736 51.5449963861355, 0.09809269442129 51.54464574021537, 0.0976786700349041 51.54516375321309, 0.0968412678491317 51.54539781517513, 0.0962559030359879 51.54476070895188, 0.0957537051500368 51.54424362411748, 0.0979670074769265 51.541719685578116, 0.0978168517670167 51.54120453196994, 0.0972381129109558 51.54162113749758, 0.0965669434311207 51.541617811665034, 0.0949518548226402 51.54085891080308, 0.0924112118521012 51.542389599651344, 0.0916520126954762 51.54190881695127, 0.0891384032751188 51.54337623607043, 0.0886375293892338 51.5432329980593, 0.0881364749565988 51.54347414700919, 0.089075622640119 51.54382613709495, 0.0866714055209854 51.545811351801355, 0.0862370226361805 51.54559228096133, 0.0850133497687746 51.546882048671385, 0.0862441806546116 51.5474282278891, 0.0884879078892471 51.54770404757613, 0.0914756767374839 51.54826118173187, 0.0916939424797422 51.54906917284953, 0.0924183626218807 51.54957206854662, 0.0925177514528396 51.549391816801915, 0.0923169497076012 51.54856022446224, 0.0930470850409785 51.546441161638015))",1.26E-05,66,2337,5,21.038,0.11,0.077,14.434,-0.442,0.84,35.596,27.639
2253,2251,2,83.3,785,2.9,270621.6323,10,66.7,4.5,1.276666667,1.3,0.554520548,"POLYGON ((0.1060045861469507 51.54298169458415, 0.1042258474548059 51.5412221395581, 0.104313772624374 51.540850428917445, 0.1056395180807027 51.53927751659571, 0.1056848068610194 51.538677569106845, 0.1048919684689447 51.53861952405625, 0.1017600769760203 51.5383379144228, 0.1009418030129886 51.53827246577301, 0.0991793211446653 51.5381323034115, 0.0976231433251732 51.538010547721235, 0.093740645688203 51.537681326804694, 0.0936946981412176 51.53767776746802, 0.0936001399521587 51.537670435480685, 0.0932574948846122 51.53786984998743, 0.0932471552504695 51.53873939136901, 0.0940431124981937 51.53874819709262, 0.0948400753956115 51.5391597921029, 0.0941144436915433 51.53963480560324, 0.0941379186830436 51.54005787341908, 0.0944604506332939 51.54022479384586, 0.094165218823044 51.54046718594017, 0.0949518548194412 51.54085891080483, 0.0965669434308587 51.54161781166551, 0.0972381129133807 51.54162113749689, 0.0978168517689761 51.541204531970536, 0.0977870986646881 51.541164668589616, 0.0986676724317121 51.54045333633442, 0.0998641238930295 51.540396106050224, 0.1005675313368725 51.539700061788295, 0.1014531324769896 51.53997804711573, 0.1009784966352897 51.53999247552448, 0.100298925714855 51.54062079359548, 0.101179564434873 51.54166224766409, 0.1005470339206538 51.54211466215828, 0.1006538460674347 51.542569446836836, 0.1019767976686613 51.54149135551816, 0.1040531938688248 51.542110601498266, 0.1052318549690506 51.543161247984266, 0.1060045861469507 51.54298169458415))",3.70E-05,67,2643,6,18.848,0.13,0.058,14.114,-0.261,-0.155,40.981,22.064
1828,1723,105,80.7,640,2.7,224351.3947,3,34.66666667,1.333333333,0.545,1,0.396347032,"POLYGON ((0.1606951743990385 51.53307512079481, 0.1595233353575891 51.53198849499929, 0.1571348354993796 51.532550669343145, 0.1568817804724082 51.53208631903657, 0.1563539588015259 51.53212749009984, 0.1568231477883865 51.53277184298094, 0.1561365478434793 51.53279247028427, 0.1552922571181324 51.5298763190901, 0.1549378586463315 51.53006606032259, 0.1543158930929721 51.53066908059314, 0.153868299678599 51.53043426026316, 0.1537477543561416 51.530610287634325, 0.1533451290387345 51.5324338753722, 0.1529976583368332 51.53258034461939, 0.1534698372895448 51.53263826832492, 0.1533649809128331 51.533048180795014, 0.1546024806252242 51.53307198380082, 0.1545584861094694 51.53374670675414, 0.1540608382745282 51.5337717194756, 0.1516157655495103 51.53411178763335, 0.1515653735820713 51.534396202290786, 0.1521518376059505 51.53504272963817, 0.1517745041364207 51.5354544471757, 0.152173218973924 51.5359666752522, 0.1511320072499315 51.536216792312196, 0.1517361564992721 51.53712017447115, 0.1529182836466136 51.53742950017743, 0.1529505566847911 51.53631672755956, 0.1542471401653966 51.53629266065064, 0.1550549795672455 51.53592469002026, 0.1556030543640444 51.535724654072546, 0.1584191997288511 51.53515382537058, 0.1589744805520432 51.53479485413476, 0.1585541675261078 51.53452086202655, 0.1606291287343194 51.533192192378415, 0.1606951743990385 51.53307512079481))",1.34E-05,84,1299,3,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525
1326,1326,0,22,517,2.6,600238.1006,8,43.375,2,1.265,1.125,0.509246575,"POLYGON ((0.1167882171384285 51.52814065629671, 0.1169854064746508 51.52775725932687, 0.118004639236707 51.527788309741766, 0.1180927097500747 51.527316404638675, 0.1180841341104881 51.527032242989314, 0.1170466461686914 51.52684599234034, 0.1169235470852216 51.52645639774849, 0.1192002487670858 51.52584446472136, 0.1235079657776375 51.52143668954357, 0.1196907360452755 51.520685813378, 0.1186505492927708 51.52133813440748, 0.1171370591937083 51.52012160641534, 0.1157160191176463 51.51994041556071, 0.1146645449614066 51.51902412687359, 0.11115543412646 51.518011024677705, 0.1117407700889473 51.52195776189951, 0.111543425920871 51.52278539748321, 0.1116467891157455 51.522963392560264, 0.111304293557089 51.52330504400226, 0.1107439276080958 51.52348057069769, 0.1112386466803863 51.52368217876216, 0.1102938399715597 51.523654883886415, 0.1067465475819098 51.523585697902185, 0.1082404725554508 51.52424892472037, 0.1082659964493388 51.524984652129525, 0.1099337978328485 51.525023977285244, 0.1102463622135588 51.52596380265461, 0.1157609558892994 51.52581211510791, 0.1161856323404209 51.52664957019108, 0.1156926037138578 51.52723193574887, 0.1140518762608878 51.52708118788454, 0.1141953762589362 51.527370777344174, 0.1135960127895982 51.527388711037375, 0.1130205835275564 51.528076119936834, 0.1139752668164988 51.528416983138335, 0.1139385265758999 51.529530108284554, 0.116928883565931 51.52935481654866, 0.1184331520882694 51.52921920356165, 0.1180028943543046 51.528251443661716, 0.1167882171384285 51.52814065629671))",1.33E-05,90,1392,3,28.182,0.167,0.094,10.866,-0.036,0.524,64.961,20.692
1686,1686,0,44.9,608,2.8,375843.4254,3,70.33333333,11,0.59,1.666666667,0.472146119,"POLYGON ((0.1454046129063898 51.56255406283932, 0.1448659955935291 51.56162453292007, 0.1438701990296174 51.56172090849585, 0.1438333028959378 51.561504883388274, 0.1438245206132566 51.561007751382775, 0.1432765050560907 51.561039490859315, 0.1393648807438563 51.56132417730483, 0.1361851146733459 51.56133165999418, 0.13641437229808 51.56277954999372, 0.1363657256667345 51.563152107491646, 0.1366946405815662 51.56316915714635, 0.137564941907136 51.56321121719996, 0.1369271325451188 51.56705572956169, 0.1384317048162617 51.56774412315745, 0.1399195837539599 51.56780167991423, 0.143380845004033 51.567518849491854, 0.1423926491646139 51.5661916858257, 0.1447854652131057 51.565575702235925, 0.1453788845777243 51.56469739886193, 0.1458235631298534 51.563875113079334, 0.1454046129063898 51.56255406283932))",7.98E-06,105,1721,4,25.691,0.12,0.084,22.485,-0.199,0.891,39.755,34.149
1416,1404,12,72.8,501,2.8,188381.6643,5,47,5,0.676666667,2.2,0.473972603,"POLYGON ((0.1481109645805175 51.57562198058588, 0.1480344341801785 51.57341156208664, 0.147905733769016 51.57312476425992, 0.1489588943668443 51.57323222414051, 0.1492901026537959 51.5702725844964, 0.149752322158865 51.56969677917254, 0.1481154725844863 51.56954585145622, 0.1483340704346333 51.56997476180684, 0.1452759823369462 51.57131762964399, 0.1451408020177561 51.57174846341017, 0.14630186417479 51.57179915409293, 0.1453878832458038 51.571776175861785, 0.1452720630557968 51.5722139219094, 0.1444689455396062 51.57260169593725, 0.1447995959597306 51.57279325942412, 0.1443332081980034 51.574231743696004, 0.1434506506310229 51.574476133490236, 0.1425064453682442 51.57311528987573, 0.1415072414117428 51.57425846458874, 0.1413942159190944 51.57473293578095, 0.1418088548470161 51.574764989752715, 0.1419671727031105 51.57531192679078, 0.1435453020835851 51.575648860724144, 0.1439976323793062 51.57550026401586, 0.1462108935391212 51.57563005189366, 0.1469833735849725 51.57567788863694, 0.1481109645805175 51.57562198058588))",2.65E-05,106,2817,6,17.741,0.112,0.078,12.848,-0.002,-0.312,32.872,20.544
1871,1871,0,67.4,739,2.5,276279.589,6,86.33333333,3.833333333,0.4275,7.166666667,0.405936073,"POLYGON ((0.1418590975493305 51.56961684120482, 0.1407322838823753 51.56952318000019, 0.1407214105967478 51.568940979060336, 0.1408621776501473 51.56833255799711, 0.1399195837558803 51.56780167991431, 0.1384317048160081 51.56774412315687, 0.1369271325459441 51.56705572956166, 0.1355779973518383 51.5666487762903, 0.1314682018835713 51.56656007733984, 0.1297039142309317 51.566534445689, 0.1293623399111092 51.56652948549252, 0.1297357089529375 51.56791559817839, 0.1297196062578704 51.568106114454494, 0.1309672727732044 51.5682220745649, 0.1378625813917305 51.56871917698701, 0.1375453490052336 51.56939313815569, 0.1375047426142461 51.56965215941084, 0.1359106170957525 51.569578367451925, 0.1358080964672568 51.56985005288409, 0.1367792739058689 51.57018803391051, 0.1370828604716917 51.57095556825168, 0.1365274953791448 51.571351454504935, 0.1357276986856414 51.57172203955861, 0.1365214087742367 51.57183652744445, 0.1387087383307914 51.57202567765426, 0.1390659619402796 51.5720393813179, 0.1395179289986652 51.57205682388388, 0.1419754938753565 51.572247208219565, 0.1418021482677912 51.57263774551209, 0.1411405903570473 51.57419195486636, 0.1415072414104609 51.57425846458599, 0.1425064453643763 51.5731152898774, 0.1434608196844472 51.5724469434524, 0.1439067491933854 51.57233902118005, 0.1437801699379473 51.57202828640142, 0.1428664538078862 51.571931839639355, 0.1428711464110176 51.571051900467396, 0.1419499533943875 51.57099547521574, 0.1415893708963201 51.57095651803036, 0.1418590975493305 51.56961684120482))",2.17E-05,108,1827,4,24.743,0.129,0.065,18.969,-0.324,0.602,43.159,40.766
1679,1679,0,109.1,633,2.7,154673.1599,1,37,1,1.23,3,0.235616438,"POLYGON ((0.1358080964644937 51.56985005288233, 0.1359106170930335 51.56957836745105, 0.1375047426153914 51.5696521594099, 0.1375453490056741 51.56939313815646, 0.137862581389936 51.56871917698931, 0.1309672727707105 51.56822207456446, 0.1297196062611023 51.56810611445448, 0.1297357089532052 51.567915598181045, 0.1296766296287724 51.56810139098944, 0.1297337262975378 51.56890127721851, 0.1300523977073488 51.569356803078946, 0.1304648223183365 51.57048866215093, 0.1300252627670844 51.5707562729433, 0.1354965262319438 51.5716896917152, 0.135727698687812 51.57172203955656, 0.1365274953823336 51.57135145450669, 0.1370828604711164 51.5709555682523, 0.1367792739022042 51.57018803390744, 0.1358080964644937 51.56985005288233))",6.47E-06,109,1769,4,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945
